¿Nos acostamos?|Andrea Hoyos
Firewall|James Swallow
Star Trek: Picard: No Man's Land|Kirsten Beyer
Pink Bean Series|Harper Bliss
The Dwarf, The Mine, and The RPG Apocalypse|Constantin Step
Meditación Guiada Para La Hora De Dormir: Hipnosis Para Sueño Profundo Con Música Para Aliviar El Estrés Diario, Relajarse, Reducir La Ansiedad, Y Lograr Mejores Noches De Descanso (Meditaciones Guiadas en Español - Guided Meditations in Spanish)|Mindfulness Training
Ivy Aberdeen's Letter to the World|Ashley Herring Blake
The Mighty Heart of Sunny St. James|Ashley Herring Blake
The Affair of the Mysterious Letter|Alexis Hall
The Edge of Falling|Rebecca Serle
Three Sides of a Heart: Stories About Love Triangles|Renée Ahdieh
Three Sides of a Heart|Renée Ahdieh
La rosa y la daga (The Rose and the Dagger)|Renée Ahdieh
El humo en el sol (Smoke in the Sun)|Renée Ahdieh
Loki: Where Mischief Lies|Mackenzi Lee
Loki|Mackenzi Lee
Fire|Robin McKinley
Water|Robin McKinley
Pegasus|Robin McKinley
A Knot in the Grain|Robin McKinley
The Door in the Hedge|Robin McKinley
Dragonhaven|Robin McKinley
Mistletoe Christmas|Erica Ridley
Good Enough to Eat|Jae
Laid Bare|Jae
On Davis Row|N.R. Walker
Yanni's Story|N.R. Walker
Spencer Cohen Series, Book Three|N.R. Walker
Spencer Cohen Series, Book Two|N.R. Walker
Spencer Cohen Series, Book One|N.R. Walker
Cronin's Key|N.R. Walker
