Duration (h),durationHours
Character 1,
Character 2,
How did it make me feel?,feel
tagsTag1,tag1
tagsTag2,tag2
tagsTag3,tag3
tagsTag4,tag4
tagsTag5,tag5
tagsTag6,tag6
tagsTag7,tag7
tagsTag8,tag8
tagsTag9,tag9
tagsTag10,tag10
tagsTagsJoined,tagsJoined
Ratings out of 5,rate
Ratings,rate
negativesNeg1,neg1
negativesNeg2,neg2
negativesNeg3,neg3
Negatives,neg
Dates,date
Links,link
Calculated,calc
Classifiers,cat
scoreZeroone,scoreZeroOne
scorePlusminus,scorePlusMinus
scoreDurationplusminus,scoreDurationPlusMinus
Generated,gen
average,
MD Link+,mdLinkPlus
Mc1Name,mc1Name
Mc1Gender,mc1Gender
Mc1Pronouns,mc1Pronouns
Mc1Age,mc1Age
Mc1Profession,mc1Profession
Mc1Attachment,mc1Attachment
Mc2Name,mc2Name
Mc2Gender,mc2Gender
Mc2Pronouns,mc2Pronouns
Mc2Age,mc2Age
Mc2Profession,mc2Profession
Mc2Attachment,mc2Attachment
seriesSeriesName,seriesName
seriesSeriesPart,seriesPart
rateHeaRating,rateHea
linkIsbn,isbn
